Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, Private courses",No,Pressure,Private life problems,Lack of time,Teaching language,Not having a good (powerful) computer,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,3,Yes,4,5,Negatively,5-7 hours,2,7,7,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),In peer,"Lectures, Learning by practicing, Project-based learning","Online tutorials, Online documents",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2,Yes,3,5,You do not care about,5-7 hours,3,8,8,8,9,,,,,,,,,,,,,,,,Very High,High,Moderate,Moderate,High,High,High,High,High,Moderate,Moderate,Moderate,High,High,High,High,12,13
Male,First year,Science,"18-25",In your room (dorms),Alone,Lectures,Online documents,Yes,Private life problems,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Not having a good (powerful) computer,3,Yes,3,4,You do not care about,5-7 hours,5,8,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Not having a good (powerful) computer,Pressure,Teaching language,Private life problems,3,No,5,5,Positively,5-7 hours,4,7,8,8,8,,,,,,,,,,,,,,,,Very High,High,Moderate,High,High,High,High,High,High,Moderate,High,High,High,High,High,High,12,13
Female,Third year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Lack of time,Teaching language,Not having a good (powerful) computer,3,Yes,4,4,You do not care about,5-7 hours,2,9,7,6,9,,,,,,,,,,,,,,,,High,High,Moderate,High,Moderate,Moderate,Moderate,High,High,Low,Moderate,High,Moderate,High,Moderate,High,10,11
Female,Second year,Mathematics,"18-25",At home,Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,3,No,5,5,You do not care about,5-7 hours,4,9,8,8,8,,,,,,,,,,,,,,,,High,High,Moderate,High,Moderate,Moderate,Moderate,High,High,Low,Low,Low,Moderate,High,Moderate,Very High,9,11
Female,First year,Science,"34-41",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3,No,4,4,You do not care about,5-7 hours,4,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Teaching language,Bad quality of internet,Private life problems,3,No,5,5,You do not care about,5-7 hours,3,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"34-41",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Not having a good (powerful) computer,1,Yes,2,2,Negatively,5-7 hours,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Pressure,Private life problems,3,Yes,5,5,Positively,4 hours or less,2,3,5,5,5,High,High,High,High,Moderate,High,13,Moderate,High,High,High,Low,Moderate,11,12,,,,,,,,,,,,,,,,,,
