Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Average S1,1Y_Average S2,1Y_Average,2Y_Average S1,2Y_Average S2,2Y_Average,3Y_Average S1,3Y_Average S2,3Y_Average
Female,First year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Online tutorials,Yes,Pressure,Bad quality of internet,Lack of time,3,Yes,4,5,Positively,5-7 hours,3,9,8,8,7,,,,,,,,,
Male,First year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,3,No,1,1,Positively,8 hours or more,3,8,5,5,4,,,,,,,,,
Male,Fourth year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Project-based learning","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,2,Yes,2,4,You do not care about,5-7 hours,3,8,8,8,8,,,,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12,12,12,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online tutorials,No,Pressure,Private life problems,Bad quality of internet,3,No,1,2,You do not care about,5-7 hours,4,9,8,8,6,,,,,,,,,
Female,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Bad quality of internet,Lack of time,Bad quality of internet,3,Yes,5,5,Positively,5-7 hours,3,9,7,5,6,,,,,,,,,
Female,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,3,3,You do not care about,5-7 hours,3,9,7,7,7,,,,,,,,,
Female,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,"Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,2,Yes,2,3,You do not care about,5-7 hours,3,9,4,2,5,11,,,,,,,,
Female,First year,Science,26-33,In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,4,4,Negatively,5-7 hours,2,8,6,4,3,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing,"Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,2,No,3,4,Negatively,8 hours or more,3,7,5,6,6,,,,,,,,,
Female,First year,Mathematics,26-33,In your room (dorms),Alone,Mind mapping and visualization,Online documents,No,Lack of time,Pressure,Bad quality of internet,3,Yes,5,4,You do not care about,5-7 hours,3,10,7,6,9,,,,,,,,,
Female,First year,Mathematics,More than 41,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, YouTube videos",No,Teachers' teaching method,Teaching language,Lack of time,1,Yes,1,1,Positively,4 hours or less,1,4,8,9,5,,,,,,,,,
Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents",Yes,Private life problems,Pressure,Lack of previous knowledge or experience in the field,3,No,4,5,You do not care about,5-7 hours,1,7,6,6,6,12,13,12,,,,,,
Male,First year,Science,18-25,In the school's library,Alone,Learning by practicing,Books,No,Lack of time,Pressure,Teaching language,2,No,3,5,Positively,8 hours or more,5,5,7,7,5,,,,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,3,Yes,2,3,You do not care about,8 hours or more,4,7,6,5,5,,,,,,,,,
Female,Thirs year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","YouTube videos, ChatGpt ",No,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,3,Yes,5,5,You do not care about,8 hours or more,1,7,7,6,5,16,14,15,12,12,12,,,
