Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Average S1,1Y_Average S2,1Y_Average,2Y_Average S1,2Y_Average S2,2Y_Average,3Y_Average S1,3Y_Average S2,3Y_Average
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, Private courses",No,Pressure,Private life problems,Lack of time,3,Yes,4,5,Negatively,5-7 hours,2,7,7,9,6,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),In peer,"Lectures, Learning by practicing, Project-based learning","Online tutorials, Online documents",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,3,5,You do not care about,5-7 hours,3,8,8,8,9,,,,High,12.0,13.0,,,
Male,First year,Science,18-25,In your room (dorms),Alone,Lectures,Online documents,Yes,Private life problems,Lack of time,Bad quality of internet,3,Yes,3,4,You do not care about,5-7 hours,5,8,5,7,6,,,,,,,,,
Male,Third year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,3,No,5,5,Positively,5-7 hours,4,7,8,8,8,,,,High,12.0,13.0,,,
Female,Third year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,3,Yes,4,4,You do not care about,5-7 hours,2,9,7,6,9,,,,High,10.0,11.0,,,
Female,Second year,Mathematics,18-25,At home,Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,3,No,5,5,You do not care about,5-7 hours,4,9,8,8,8,,,,High,9.0,11.0,,,
Female,First year,Science,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Lack of time,3,No,4,4,You do not care about,5-7 hours,4,7,7,6,6,,,,,,,,,
Female,First year,Mathematics,10-17,At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,3,No,5,5,You do not care about,5-7 hours,3,7,4,4,4,,,,,,,,,
Female,First year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,1,Yes,2,2,Negatively,5-7 hours,1,5,1,1,2,,,,,,,,,
Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Project-based learning, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,3,Yes,5,5,Positively,4 hours or less,2,3,5,5,5,13.0,11.0,12.0,,,,,,
